"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd","eta_setting","rep"
"beta1",1,1.473527781,0.201926285407982,1.1016495,1.89818875,0.473527781,0.473527781,FALSE,"Proposed (ADVI)",1,0.4,1
"beta2",2,2.45365297,0.247710958646792,1.95475525,2.940612,0.45365297,0.45365297,TRUE,"Proposed (ADVI)",1,0.4,1
"beta3",3,3.52079737,0.33725599663527,2.8631285,4.22511325,0.52079737,0.52079737,TRUE,"Proposed (ADVI)",1,0.4,1
"beta4",-4,-4.68879935,0.42571224270235,-5.54590325,-3.825863,-0.68879935,0.68879935,TRUE,"Proposed (ADVI)",1,0.4,1
"beta5",-5,-6.01076589,0.511507991618604,-6.96536125,-5.0202445,-1.01076589,1.01076589,FALSE,"Proposed (ADVI)",1,0.4,1
"beta6",0,0.1014905437474,0.152810554088886,-0.209687475,0.38371255,0.1014905437474,0.1014905437474,TRUE,"Proposed (ADVI)",1,0.4,1
"beta7",0,-0.390970859388,0.19392339190214,-0.76681395,-0.0194381725000001,-0.390970859388,0.390970859388,FALSE,"Proposed (ADVI)",1,0.4,1
"beta8",0,-0.140616950995,0.163980378587056,-0.4669441,0.198454475,-0.140616950995,0.140616950995,TRUE,"Proposed (ADVI)",1,0.4,1
"beta9",0,0.17382598831,0.180648031858598,-0.19383635,0.524639675,0.17382598831,0.17382598831,TRUE,"Proposed (ADVI)",1,0.4,1
"beta10",0,-0.0618312669177,0.162276252517182,-0.385095225,0.2622579,-0.0618312669177,0.0618312669177,TRUE,"Proposed (ADVI)",1,0.4,1
"beta11",0,0.014056303328,0.157844092647439,-0.29462945,0.3161518,0.014056303328,0.014056303328,TRUE,"Proposed (ADVI)",1,0.4,1
"beta12",0,0.199623717688,0.182189796213844,-0.16823185,0.55509235,0.199623717688,0.199623717688,TRUE,"Proposed (ADVI)",1,0.4,1
"beta13",0,-0.090797921364,0.168226642366562,-0.4039932,0.265390275,-0.090797921364,0.090797921364,TRUE,"Proposed (ADVI)",1,0.4,1
"beta14",0,-0.044414000136,0.163204948085935,-0.38471755,0.254822775,-0.044414000136,0.044414000136,TRUE,"Proposed (ADVI)",1,0.4,1
"beta15",0,0.174842833116,0.183052503313605,-0.1904947,0.526312275,0.174842833116,0.174842833116,TRUE,"Proposed (ADVI)",1,0.4,1
"beta16",0,0.232088384026,0.155710772690056,-0.06035385,0.543565825,0.232088384026,0.232088384026,TRUE,"Proposed (ADVI)",1,0.4,1
"beta17",0,0.2319376559405,0.18987918853621,-0.119414725,0.6136399,0.2319376559405,0.2319376559405,TRUE,"Proposed (ADVI)",1,0.4,1
"beta18",0,0.057514032851,0.175183571653939,-0.28464415,0.404065175,0.057514032851,0.057514032851,TRUE,"Proposed (ADVI)",1,0.4,1
"beta19",0,0.07017659163,0.1628554554602,-0.25322335,0.3882213,0.07017659163,0.07017659163,TRUE,"Proposed (ADVI)",1,0.4,1
"beta20",0,-0.019983195795,0.173850192736111,-0.359105875,0.315511125,-0.019983195795,0.019983195795,TRUE,"Proposed (ADVI)",1,0.4,1
"eta",0.4,0.5559608351,0.32000172044136,0.1655453,1.36281775,0.1559608351,0.1559608351,TRUE,"Proposed (ADVI)",1,0.4,1
"beta1",1,1.405206089,0.201467559698548,1.0081985,1.793328,0.405206089,0.405206089,FALSE,"Naive (ADVI)",1,0.4,1
"beta2",2,2.40445085,0.26378094487255,1.88832075,2.9132175,0.40445085,0.40445085,TRUE,"Naive (ADVI)",1,0.4,1
"beta3",3,3.51227861,0.31892014220314,2.87795425,4.123563,0.51227861,0.51227861,TRUE,"Naive (ADVI)",1,0.4,1
"beta4",-4,-4.63249252,0.431052114660865,-5.47424375,-3.83003925,-0.63249252,0.63249252,TRUE,"Naive (ADVI)",1,0.4,1
"beta5",-5,-5.94818953,0.485578323894009,-6.89296425,-5.033815,-0.94818953,0.94818953,FALSE,"Naive (ADVI)",1,0.4,1
"beta6",0,0.077536304136,0.155549654678154,-0.2298226,0.37076375,0.077536304136,0.077536304136,TRUE,"Naive (ADVI)",1,0.4,1
"beta7",0,-0.38368874994,0.178861793202633,-0.727638425,-0.0254019975,-0.38368874994,0.38368874994,FALSE,"Naive (ADVI)",1,0.4,1
"beta8",0,-0.133793790739,0.163195139743733,-0.459116525,0.186548875,-0.133793790739,0.133793790739,TRUE,"Naive (ADVI)",1,0.4,1
"beta9",0,0.1967691650775,0.184338388449091,-0.17751745,0.5340927,0.1967691650775,0.1967691650775,TRUE,"Naive (ADVI)",1,0.4,1
"beta10",0,-0.0173588973828,0.16460878752081,-0.359279225,0.29541315,-0.0173588973828,0.0173588973828,TRUE,"Naive (ADVI)",1,0.4,1
"beta11",0,0.0412799488021,0.148294765350509,-0.245999525,0.32020235,0.0412799488021,0.0412799488021,TRUE,"Naive (ADVI)",1,0.4,1
"beta12",0,0.196793132082,0.172422622082041,-0.15303145,0.525862225,0.196793132082,0.196793132082,TRUE,"Naive (ADVI)",1,0.4,1
"beta13",0,-0.112110535079,0.171592495195958,-0.43946575,0.218330975,-0.112110535079,0.112110535079,TRUE,"Naive (ADVI)",1,0.4,1
"beta14",0,-0.028180579937,0.165870235743526,-0.362282225,0.297232025,-0.028180579937,0.028180579937,TRUE,"Naive (ADVI)",1,0.4,1
"beta15",0,0.159037690129,0.182046895317592,-0.197639,0.516130025,0.159037690129,0.159037690129,TRUE,"Naive (ADVI)",1,0.4,1
